Taskmaster,Drives completion through clear standards
Designer,Crafts solutions with beauty and purpose
Commander,Takes charge and makes decisions in critical moments
Seeker,Takes charge and makes decisions in critical moments
Ethical Compass,Guides moral decisions with integrity and principle
Trailblazer,Maps new frontiers for others to follow
Cultivator,"Nurtures potential in people, projects, and ideas"
Truth Teller,Speaks honest truths others avoid or overlook
Starter,Initiates new projects from a blank slate
Protector,Shields others from harm with strength
Competitor,Excels by constantly pushing to win and be the best
Artist,Channels life’s essence into creative expression
Solver,"Cracks complex problems with thoughtful, creative solutions"
Storyteller,Weaves narratives that connect and move
Catalyst,Sparks action that accelerates progress
Peacemaker,Sparks action that accelerates progress
Jester,Brings joy and laughter through playful wit
Empathizer,Connects with others' feelings to understand
Sage,Shares perspective grounded in experience and tradition
Operator,Keeps systems running by managing the details
Closer,"Wins high stakes deals, commitments and victories"
Improvisor,Adapts quickly with creative solutions
Connector,"Bridges ideas and/or people, fostering vital synergies"
Scout,Ventures into the unknown to reveal what’s possible
Analyzer,Draws insights from data to drive impactful decisions
Builder,Constructs tangible things through hands-on creation
Learner,Constantly seeks knowledge to fuel curiosity
Awe Finder,Discovers moments that inspire wonder
Explorer,Pursues discovery beyond known boundaries
Performer,Captivates audiences with compelling presence
Skeptic,Challenges assumptions to avoid blind spots
Strategist,Thinks conceptually to determine what should be done
Ideator,Turns mental sparks into tangible blueprints
Curator,Gathers and showcases the finest concepts
Harmonizer,Restores balance and eases tensions with quiet grace
Finisher,Specializes in driving tasks and projects across the finish line
